idGV,idMH,room,weekday,shift
1,502049,203,0,3
1,502057,109,4,2
1,502049,303,5,0
2,502062,109,1,0
2,502062,409,2,2
2,503040,210,3,0
2,503040,109,3,2
3,503049,303,0,0
3,503044,203,1,2
3,503044,202,1,0
3,503044,209,5,3
4,503051,101,0,1
4,503073,108,2,2
4,503073,401,4,3
5,503076,204,0,3
5,503074,305,1,2
5,503074,303,3,3
5,503074,401,3,2
6,503051,202,0,0
6,503051,108,3,3
6,505045,310,4,0
7,503049,101,2,2
7,503049,301,3,0
7,502049,209,4,0
8,502057,108,1,2
8,503073,203,2,0
8,502057,110,4,2
9,503076,110,0,2
9,503040,406,2,1
9,503076,401,6,2
10,502062,201,0,3
10,501049,306,4,0
10,501049,403,5,0
11,505045,203,1,2
11,501049,101,2,3
11,505045,105,3,2
12,502048,201,2,3
12,503045,204,3,3
12,502048,304,5,1
13,504049,304,1,3
13,504049,310,4,0
14,503045,202,0,0
14,503045,109,3,0
14,503075,408,4,0
15,504048,303,0,3
15,504048,101,2,3
16,503075,207,0,3
16,502048,301,1,1
16,503075,305,2,1
17,504048,401,1,2
17,504045,203,3,0
18,504045,306,0,2
18,504045,406,3,3
18,504049,205,4,2
19,51800943,203,0,0
19,51800943,104,1,3
19,51800943,302,2,1
20,51800882,403,0,3
20,51800882,301,3,3
