mamon,ten,sotiet,solop
501049,Nhập môn Phân tích kinh doanh,45,3
502049,Nhập môn Bảo mật thông tin,45,3
502057,Nguyên lý ngôn ngữ lập trình,45,3
502062,Vận trù học,45,3
503040,Phân tích và thiết kế giải thuật,45,3
503044,Nhập môn Học máy,45,3
503049,Nhập môn Bảo mật máy tính,45,3
503051,Tính toán song song,45,3
503073,Lập trình web và ứng dụng,45,3
503074,Phát triển ứng dụng di động,45,3
503076,Phân tích hồi quy,45,3
505045,Mô hình không chắc chắn,45,3
502048,Nhập môn tính toán đa phương tiện,45,3
503045,Truy hồi thông tin,45,3
503075,An toàn mạng không dây và di động,45,3
504045,Nhập môn xử lý ngôn ngữ tự nhiên,45,3
504048,Xử lý dữ liệu lớn,45,3
504049,Hệ thống thương mại thông minh,45,3
51800943,Mon hoc moi,30,3
51800882,Test_Khoa,45,3
